CATEGORIANIIF;MONEDA;CARTERA;EMISOR;NEMOEMISOR;NEMOTECNICO;ISIN;COMPRA;VENCIMIENTO;MONTOFACIAL;REFERENCIA;CODINVENTARIO;CALIFICADORASUGEF;CALIFICACIONSUGEF;MOODYS;S&P;FITCH CRI;FITCH INTER.;SCRC;VMKTCRC
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4270;12/11/2019;03/10/2021;500000000.00;TV2940-1;11897;S&P INTER.;B;B2;B;;B+;;530202220.340000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4270;12/13/2019;03/10/2021;555000000.00;TV2973-1;11936;S&P INTER.;B;B2;B;;B+;;588878252.670000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4270;12/17/2019;03/10/2021;500000000.00;TV3003-1;11968;S&P INTER.;B;B2;B;;B+;;530715681.420000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4296;12/06/2019;03/09/2022;500000000.00;TV2906-1;11863;S&P INTER.;B;B2;B;;B+;;542808644.760000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4866;10/17/2019;09/02/2020;15000000.00;TV2657-1;11404;S&P INTER.;B;B2;B;;B+;;15497523.360000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4866;02/07/2020;09/02/2020;100000000.00;TV3161-1;12273;S&P INTER.;B;B2;B;;B+;;103684259.420000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4866;02/11/2020;09/02/2020;3000000000.00;TV3168-1;12286;S&P INTER.;B;B2;B;;B+;;3110571824.040000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;11/15/2019;10/28/2020;239000000.00;TV2776-1;11647;S&P INTER.;B;B2;B;;B+;;245547760.920000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;11/15/2019;10/28/2020;623250000.00;TV2778-1;11649;S&P INTER.;B;B2;B;;B+;;640324861.890000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;11/15/2019;10/28/2020;1047000000.00;TV2787-1;11658;S&P INTER.;B;B2;B;;B+;;1075684124.190000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;11/19/2019;10/28/2020;30000000.00;TV2795-1;11685;S&P INTER.;B;B2;B;;B+;;30823058.160000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;11/27/2019;10/28/2020;200000000.00;TV2845-1;11780;S&P INTER.;B;B2;B;;B+;;205602839.620000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;02/11/2020;10/28/2020;500000000.00;TV3169-1;12287;S&P INTER.;B;B2;B;;B+;;515359916.220000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;02/11/2020;10/28/2020;1000000000.00;TV3170-1;12288;S&P INTER.;B;B2;B;;B+;;1030719832.430000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;02/11/2020;10/28/2020;1500000000.00;TV3173-1;12291;S&P INTER.;B;B2;B;;B+;;1546079748.650000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;02/19/2020;10/28/2020;800000000.00;TV3209-1;12371;S&P INTER.;B;B2;B;;B+;;825229201.350000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;02/19/2020;10/28/2020;1000000000.00;TV3195-1;12358;S&P INTER.;B;B2;B;;B+;;1031536501.690000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;02/25/2020;10/28/2020;750000000.00;TV3242-1;12439;S&P INTER.;B;B2;B;;B+;;774164932.070000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B4981;02/25/2020;10/28/2020;1000000000.00;TV3243-1;12440;S&P INTER.;B;B2;B;;B+;;1032219909.430000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;10/14/2019;04/28/2021;500000000.00;TV2631-1;11348;S&P INTER.;B;B2;B;;B+;;516884502.140000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/13/2019;04/28/2021;355000000.00;TV2750-1;11599;S&P INTER.;B;B2;B;;B+;;368497883.750000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/14/2019;04/28/2021;167000000.00;TV2768-1;11626;S&P INTER.;B;B2;B;;B+;;173596231.500000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/15/2019;04/28/2021;400000000.00;TV2781-1;11652;S&P INTER.;B;B2;B;;B+;;415817912.710000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/15/2019;04/28/2021;475000000.00;TV2784-1;11655;S&P INTER.;B;B2;B;;B+;;493783771.340000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/15/2019;04/28/2021;500000000.00;TV2782-1;11653;S&P INTER.;B;B2;B;;B+;;519772390.890000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/19/2019;04/28/2021;25000000.00;TV2796-1;11686;S&P INTER.;B;B2;B;;B+;;25988965.450000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/19/2019;04/28/2021;100000000.00;TV2797-1;11687;S&P INTER.;B;B2;B;;B+;;103955861.790000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/26/2019;04/28/2021;90000000.00;TV2829-1;11764;S&P INTER.;B;B2;B;;B+;;93790085.330000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/26/2019;04/28/2021;95850000.00;TV2828-1;11763;S&P INTER.;B;B2;B;;B+;;99886440.880000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;11/26/2019;04/28/2021;1000000000.00;TV2831-1;11766;S&P INTER.;B;B2;B;;B+;;1042112059.220000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/02/2019;04/28/2021;250000000.00;TV2868-1;11812;S&P INTER.;B;B2;B;;B+;;261005550.880000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/02/2019;04/28/2021;600000000.00;TV2866-1;11810;S&P INTER.;B;B2;B;;B+;;626413322.110000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/04/2019;04/28/2021;500000000.00;TV2885-1;11831;S&P INTER.;B;B2;B;;B+;;522008233.080000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/04/2019;04/28/2021;500000000.00;TV2887-1;11833;S&P INTER.;B;B2;B;;B+;;522008233.080000
COSTO AMORTIZADO;CRC;BNCR COSTO AMORTIZADO;BANCO CENTRAL DE COSTA RICA;BCCR;bem;CRBCCR0B5004;12/04/2019;04/28/2021;500000000.00;TV2889-1;11835;S&P INTER.;B;B2;B;;B+;;522008233.080000
